Grains | Cretaceous | TimSub | The age of this deep water Grains is considered to be Cretaceous
Grains | Berriasian | TimSub | The age of this deep water Grains is considered to be Berriasian
Grains | Valanginian | TimSub | The age of this deep water Grains is considered to be Valanginian
Grains | Hauterivian | TimSub | The age of this deep water Grains is considered to be Hauterivian
Grains | Barremian | TimSub | The age of this deep water Grains is considered to be Barremian
Grains | Aptian | TimSub | The age of this deep water Grains is considered to be Aptian
Grains | Albian | TimSub | The age of this deep water Grains is considered to be Albian
Grains | Cenomanian | TimSub | The age of this deep water Grains is considered to be Cenomanian
Grains | Turonian | TimSub | The age of this deep water Grains is considered to be Turonian
Grains | Coniacian | TimSub | The age of this deep water Grains is considered to be Coniacian
Grains | Santonian | TimSub | The age of this deep water Grains is considered to be Santonian
Grains | Campanian | TimSub | The age of this deep water Grains is considered to be Campanian
Grains | Maastrichtian | TimSub | The age of this deep water Grains is considered to be Maastrichtian
Algae | Cretaceous | TimSub | The age of this deep water Algae is considered to be Cretaceous
Algae | Berriasian | TimSub | The age of this deep water Algae is considered to be Berriasian
Algae | Valanginian | TimSub | The age of this deep water Algae is considered to be Valanginian
Algae | Hauterivian | TimSub | The age of this deep water Algae is considered to be Hauterivian
Algae | Barremian | TimSub | The age of this deep water Algae is considered to be Barremian
Algae | Aptian | TimSub | The age of this deep water Algae is considered to be Aptian
Algae | Albian | TimSub | The age of this deep water Algae is considered to be Albian
Algae | Cenomanian | TimSub | The age of this deep water Algae is considered to be Cenomanian
Algae | Turonian | TimSub | The age of this deep water Algae is considered to be Turonian
Algae | Coniacian | TimSub | The age of this deep water Algae is considered to be Coniacian
Algae | Santonian | TimSub | The age of this deep water Algae is considered to be Santonian
Algae | Campanian | TimSub | The age of this deep water Algae is considered to be Campanian
Algae | Maastrichtian | TimSub | The age of this deep water Algae is considered to be Maastrichtian
Charophyta | Cretaceous | TimSub | The age of this deep water Charophyta is considered to be Cretaceous
Charophyta | Berriasian | TimSub | The age of this deep water Charophyta is considered to be Berriasian
Charophyta | Valanginian | TimSub | The age of this deep water Charophyta is considered to be Valanginian
Charophyta | Hauterivian | TimSub | The age of this deep water Charophyta is considered to be Hauterivian
Charophyta | Barremian | TimSub | The age of this deep water Charophyta is considered to be Barremian
